10.1103/PhysRevE.72.026109|2005-08-08|b'05.50.+q><05.45.\xe2\x88\x92a><05.10.\xe2\x88\x92a'|b'Katarzyna Sznajd-Weron',,,
10.1103/PhysRevE.72.016112|2005-07-18|b'89.75.Hc><64.60.Ak><87.23.Ge'|b'F. Desch\xc3\xa2tres><D. Sornette',,,
10.1103/PhysRevE.72.016605|2005-07-08|b'42.65.Tg><05.45.Yv><63.20.Pw'|b'Hadi Susanto><Magnus Johansson',,,
10.1103/PhysRevE.72.061106|2005-12-16|b'05.40.\xe2\x88\x92a><05.90.+m><05.60.\xe2\x88\x92k><05.45.\xe2\x88\x92a'|b'Pierre-Henri Chavanis><Mohammed Lemou',,,
10.1103/PhysRevE.72.056206|2005-11-11|b'05.45.Mt'|b'Manabu Machida><Keiji Saito',,,
10.1103/PhysRevE.72.011902|2005-07-05|b'87.16.Ac><05.40.Ca><05.45.\xe2\x88\x92a'|b'N. Montejo><M. N. Lorenzo><V. P\xc3\xa9rez-Villar><V. P\xc3\xa9rez-Mu\xc3\xb1uzuri',,,
10.1103/PhysRevE.72.036212|2005-09-19|b'05.45.Xt'|b'Liang Zhao><Ying-Cheng Lai><Chih-Wen Shih',,,
10.1103/PhysRevE.72.056127|2005-11-22|b'89.75.Fb><89.75.Hc><89.65.\xe2\x88\x92s'|b'Pedro G. Lind><Marta C. Gonz\xc3\xa1lez><Hans J. Herrmann',,,
10.1103/PhysRevE.72.066201|2005-12-01|b'05.45.Xt><87.23.Cc'|b'Ira B. Schwartz><Leah B. Shaw><Derek A. T. Cummings><Lora Billings><Marie McCrary><Donald S. Burke',,,
10.1103/PhysRevE.72.065201|2005-12-09|b'05.45.\xe2\x88\x92a><47.54.+r><05.65.+b><82.40.Bj'|b'V. S. Zykov><H. Brandtst\xc3\xa4dter><G. Bordiougov><H. Engel',,,
10.1103/PhysRevE.72.066207|2005-12-12|b'05.45.Xt><82.40.Ck><47.32.Cc'|b'Chen Wang><Shen Wang><Chunxia Zhang><Qi Ouyang',,,
10.1103/PhysRevE.72.051911|2005-11-07|b'87.19.Rr><87.10.+e><05.45.\xe2\x88\x92a'|b'John F. Lindner><Matthew Bennett><Kurt Wiesenfeld',,,
10.1103/PhysRevE.72.017103|2005-07-26|b'89.75.Hc><05.40.\xe2\x88\x92a><87.23.Kg'|b'K.-I. Goh><B. Kahng><D. Kim',,,
10.1103/PhysRevE.72.046117|2005-10-17|b'89.75.Fb><89.70.+c'|b'M. Rosvall><A. Gr\xc3\xb6nlund><P. Minnhagen><K. Sneppen',,,
10.1103/PhysRevE.72.026224|2005-08-31|b'05.45.\xe2\x88\x92a><73.23.\xe2\x88\x92b><03.65.Nk><42.25.Bs'|b'M. Mart\xc3\xadnez-Mares><P. A. Mello',,,
10.1103/PhysRevE.72.037601|2005-09-08|b'42.65.Tg><05.45.Yv><41.20.Jb><42.65.Jx'|b'D. Faccio><A. Matijosius><A. Dubietis><R. Piskarskas><A. Varanavi\xc4\x8dius><E. Gaizauskas><A. Piskarskas><A. Couairon><P. Di Trapani',,,
10.1103/PhysRevE.72.066204|2005-12-05|b'05.45.Mt><03.65.Sq'|b'K. Damborsky><L. Kaplan',,,
10.1103/PhysRevE.72.056202|2005-11-01|b'05.45.\xe2\x88\x92a'|b'Christophe Letellier><Luis A. Aguirre',,,
10.1103/PhysRevE.72.016110|2005-07-14|b'89.75.Hc><05.65.+b><02.50.Cw'|b'Barbara Drossel',,,
10.1103/PhysRevE.72.066130|2005-12-30|b'89.75.Hc><05.10.\xe2\x88\x92a><05.40.\xe2\x88\x92a><05.50.+q'|b'S. N. Dorogovtsev><A. V. Goltsev><J. F. F. Mendes',,,
10.1103/PhysRevE.72.037201|2005-09-01|b'05.45.Xt><05.45.Tp'|b'Alexander E. Hramov><Alexey A. Koronovskii><Pavel V. Popov',,,
10.1103/PhysRevE.72.066217|2005-12-29|b'05.45.Xt><05.65.+b><05.45.Ra'|b'Arturo C. Mart\xc3\xad><Marcelo Ponce><C. Masoller',,,
10.1103/PhysRevE.72.026139|2005-08-31|b'05.70.Ln><64.75.+g><05.45.Pq'|b'E. N. M. Cirillo><G. Gonnella><G. P. Saracco',,,
10.1103/PhysRevE.72.067304|2005-12-29|b'05.45.\xe2\x88\x92a><81.70.Ha><47.55.Dz'|b'Wei Wei><David B. Thiessen><Philip L. Marston',,,
10.1103/PhysRevE.72.056107|2005-11-07|b'89.75.Hc'|b'Stefanie Muff><Francesco Rao><Amedeo Caflisch',,,
10.1103/PhysRevE.72.016610|2005-07-13|b'05.45.Yv'|b'Niurka R. Quintero><Bernardo S\xc3\xa1nchez-Rey><Mario Salerno',,,
10.1103/PhysRevE.72.036206|2005-09-08|b'05.45.Gg><05.45.Ac><82.40.Bj'|b'Chol-Ung Choe><Klaus H\xc3\xb6hne><Hartmut Benner><Yuri S. Kivshar',,,
10.1103/PhysRevE.72.011905|2005-07-11|b'87.19.La><05.45.\xe2\x88\x92a><82.40.Ck><02.30.Ks'|b'A. Carpio',,,
10.1103/PhysRevE.72.026212|2005-08-18|b'05.45.\xe2\x88\x92a'|b'Christophe Letellier><Tsvetelin D. Tsankov><Greg Byrne><Robert Gilmore',,,
10.1103/PhysRevE.72.037203|2005-09-09|b'05.45.Xt><05.45.Jn'|b'H. J. Wang><H. B. Huang><G. X. Qi',,,
10.1103/PhysRevE.72.032701|2005-09-09|b'89.75.Fb><61.30.\xe2\x88\x92v><73.50.\xe2\x88\x92h><82.70.Kj'|b'Ralf Stannarius><Camilla V\xc3\xb6ltz',,,
10.1103/PhysRevE.72.046101|2005-10-03|b'89.75.Da><95.75.Mn><89.75.Kd'|b'J. R. Mureika><C. C. Dyer><G. C. Cupchik',,,
10.1103/PhysRevE.72.026108|2005-08-08|b'89.75.Hc><02.50.\xe2\x88\x92r><89.75.Da'|b'Janusz A. Ho\xc5\x82yst><Julian Sienkiewicz><Agata Fronczak><Piotr Fronczak><Krzysztof Suchecki',,,
10.1103/PhysRevE.72.065103|2005-12-12|b'89.75.Da><68.35.Ct><05.40.Fb'|b'S. J. Mitchell',,,
10.1103/PhysRevE.72.016107|2005-07-08|b'64.60.\xe2\x88\x92i><05.45.\xe2\x88\x92a><68.35.Af'|b'B. A. H. Huisman><A. Fasolino',,,
