10.1103/PhysRevE.72.051201|2005-11-11|b'51.40.+p><64.70.Fx><64.60.Ht><51.10.+y'|b'K. A. Gillis><I. I. Shinder><M. R. Moldover',,,
10.1103/PhysRevE.72.011507|2005-07-26|b'64.70.Ja><64.75.+g><64.60.\xe2\x88\x92i><82.70.\xe2\x88\x92y'|b'Amarnath Gupta><H. B. Bohidar',,,
10.1103/PhysRevE.72.036122|2005-09-23|b'64.60.Fr><05.50.+q><75.40.Mg><64.60.Ht'|b'J. Q. Yin><B. Zheng><S. Trimper',,,
10.1103/PhysRevE.72.036129|2005-09-29|b'05.65.+b><62.20.Mk><64.60.Fr'|b'Jakob Knudsen><A. R. Massih',,,
10.1103/PhysRevE.72.016710|2005-07-18|b'05.10.\xe2\x88\x92a><64.60.Cn'|b'Ping Tang><Feng Qiu><Hongdong Zhang><Yuliang Yang',,,
10.1103/PhysRevE.72.016102|2005-07-01|b'89.40.\xe2\x88\x92a><64.60.Cn><05.40.\xe2\x88\x92a'|b'Ding-wei Huang',,,
10.1103/PhysRevE.72.056127|2005-11-22|b'89.75.Fb><89.75.Hc><89.65.\xe2\x88\x92s'|b'Pedro G. Lind><Marta C. Gonz\xc3\xa1lez><Hans J. Herrmann',,,
10.1103/PhysRevE.72.011509|2005-07-28|b'64.75.+g><64.60.Fr><68.03.\xe2\x88\x92g'|b'L. W. Marschand><M. Brown><L. B. Lurio><B. M. Law><S. Uran><I. Kuzmenko><T. Gog',,,
10.1103/PhysRevE.72.031803|2005-09-02|b'05.40.\xe2\x88\x92a><02.70.\xe2\x88\x92c><64.60.\xe2\x88\x92i'|b'Hyeong-Chai Jeong',,,
10.1103/PhysRevE.72.066702|2005-12-05|b'89.40.\xe2\x88\x92a><64.60.Ak><02.60.Cb'|b'Wen-Xu Wang><Bing-Hong Wang><Wen-Chen Zheng><Chuan-Yang Yin><Tao Zhou',,,
10.1103/PhysRevE.72.017103|2005-07-26|b'89.75.Hc><05.40.\xe2\x88\x92a><87.23.Kg'|b'K.-I. Goh><B. Kahng><D. Kim',,,
10.1103/PhysRevE.72.046117|2005-10-17|b'89.75.Fb><89.70.+c'|b'M. Rosvall><A. Gr\xc3\xb6nlund><P. Minnhagen><K. Sneppen',,,
10.1103/PhysRevE.72.041501|2005-10-04|b'64.60.Fr><05.70.Fh><61.20.Qg><64.70.Fx'|b'Jean-No\xc3\xabl Aqua><Shubho Banerjee><Michael E. Fisher',,,
10.1103/PhysRevE.72.046129|2005-10-21|b'05.70.Ln><05.60.\xe2\x88\x92k><05.40.\xe2\x88\x92a><64.60.\xe2\x88\x92i'|b'R\xc3\xb3bert Juh\xc3\xa1sz><Ludger Santen><Ferenc Igl\xc3\xb3i',,,
10.1103/PhysRevE.72.016110|2005-07-14|b'89.75.Hc><05.65.+b><02.50.Cw'|b'Barbara Drossel',,,
10.1103/PhysRevE.72.066130|2005-12-30|b'89.75.Hc><05.10.\xe2\x88\x92a><05.40.\xe2\x88\x92a><05.50.+q'|b'S. N. Dorogovtsev><A. V. Goltsev><J. F. F. Mendes',,,
10.1103/PhysRevE.72.056107|2005-11-07|b'89.75.Hc'|b'Stefanie Muff><Francesco Rao><Amedeo Caflisch',,,
10.1103/PhysRevE.72.057102|2005-11-18|b'89.75.\xe2\x88\x92k><05.45.Xt'|b'Ming Zhao><Tao Zhou><Bing-Hong Wang><Wen-Xu Wang',,,
10.1103/PhysRevE.72.056122|2005-11-17|b'64.60.Ak><91.30.Bi><02.50.Ey'|b'A. Saichev><D. Sornette',,,
10.1103/PhysRevE.72.032701|2005-09-09|b'89.75.Fb><61.30.\xe2\x88\x92v><73.50.\xe2\x88\x92h><82.70.Kj'|b'Ralf Stannarius><Camilla V\xc3\xb6ltz',,,
10.1103/PhysRevE.72.046101|2005-10-03|b'89.75.Da><95.75.Mn><89.75.Kd'|b'J. R. Mureika><C. C. Dyer><G. C. Cupchik',,,
